GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),Engine Load(%),Engine Load(Absolute)(%),Air Fuel Ratio(Measured)(:1),Air Fuel Ratio(Commanded)(:1),EGR Commanded(%),EGR Error(%),Intake Manifold Pressure(psi),Engine RPM(rpm),O2 Sensor1 Equivalence Ratio(alternate),Commanded Equivalence Ratio(lambda),Mass Air Flow Rate(g/s),O2 Volts Bank 1 sensor 2(V),Intake Air Temperature(°C),Ambient air temp(°C),Engine Coolant Temperature(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Speed (OBD)(km/h)
Thu Oct 28 13:55:43 GMT+02:00 2021,28-oct.-2021 13:55:44.300,3.20147092,46.07877408,7.68,3.7900925,397.85003662109375,174.0,8.93516064,0.37469256,4.1730938,0.01746807,0,-0.78125,0,20.3921566,35.68627548,15.0741396,14.96826839,0,99.21875,5.07632065,2226,1.02545166,1.01824951,4.71999979,0.72999996,39,-,90,160.30000305,-,29
Thu Oct 28 13:55:44 GMT+02:00 2021,28-oct.-2021 13:55:45.301,3.20148483,46.07869807,8.12,3.7900925,397.37664794921875,175.2,8.78791714,0.02394202,4.0114851,0.00899837,0,-0.78125,0,18.03921509,25.88235283,29.39955139,13.77900696,0,99.21875,3.77098107,1422,1.99996948,0.93734741,3.07999992,0.005,39,-,90,160.30000305,-,28
Thu Oct 28 13:55:45 GMT+02:00 2021,28-oct.-2021 13:55:46.302,3.20150471,46.07862191,8.02,3.7900925,397.955322265625,175.8,8.87051773,0.16160862,4.09408474,0.02764457,0,-0.78125,0,22.35294151,16.86274529,14.46986294,13.77900696,0,99.21875,3.77098107,1427,0.98434448,0.93734741,3.49000001,0.05,38,-,90,163.80000305,-,28
Thu Oct 28 13:55:46 GMT+02:00 2021,28-oct.-2021 13:55:47.300,3.20151777,46.07854462,8.08,3.7900925,398.16485595703125,176.9,8.90523338,0.2669535,4.15393972,0.02525773,0,-0.78125,0,25.09803963,18.03921509,14.46268654,13.77900696,0,99.21875,4.06105661,1404,0.9838562,0.93734741,3.4000001,0.065,38,-,90,163.80000305,-,28
Thu Oct 28 13:55:47 GMT+02:00 2021,28-oct.-2021 13:55:48.300,3.20152011,46.07846698,7.82,3.7900925,398.9984130859375,178.6,8.87650299,0.30526072,4.14556026,0.01854151,6.25,-0.78125,6.25,24.31372643,18.43137169,14.17243576,13.77900696,0,99.21875,4.06105661,1395,0.96411133,0.93734741,3.43000007,0.095,38,-,90,166.80000305,-,27
Thu Oct 28 13:55:48 GMT+02:00 2021,28-oct.-2021 13:55:49.306,3.2015142,46.07839124,7.84,3.7900925,400.085693359375,180.2,8.9902277,0.15682021,4.07134008,-0.0024173,7.03125,-0.78125,7.03125,18.03921509,12.94117641,13.85033512,13.77900696,0,99.21875,3.04579258,1379,0.94219971,0.93734741,2.8900001,0.11,38,-,91,166.80000305,-,27
Thu Oct 28 13:55:49 GMT+02:00 2021,28-oct.-2021 13:55:50.301,3.20151664,46.07831761,7.56,3.7900925,400.6007080078125,181.5,8.45512295,0.2669535,3.95761538,-0.00947548,3.90625,-0.78125,3.90625,25.09803963,20,13.33353806,13.77900696,0,99.21875,4.06105661,1359,0.90704346,0.93734741,3.46000004,0.145,38,-,91,169.30000305,-,27
Thu Oct 28 13:55:50 GMT+02:00 2021,28-oct.-2021 13:55:51.302,3.20151247,46.07824805,7.49,3.7900925,400.811279296875,184.4,8.88129139,-0.31364042,4.22337198,0.02216495,5.46875,-0.78125,5.46875,25.49019623,19.2156868,14.16974545,13.77900696,0,99.21875,4.20609426,1334,0.96392822,0.93734741,3.49000001,0.14999999,38,-,91,169.30000305,-,26
Thu Oct 28 13:55:51 GMT+02:00 2021,28-oct.-2021 13:55:52.301,3.20150412,46.07818384,7.3,3.7900925,399.82257080078125,188.8,8.91361332,-0.77572137,3.95761538,0.0323097,7.03125,-0.78125,7.03125,27.05882454,20.3921566,13.92480373,13.77900696,0,0,4.35113192,1288,0.94726562,0.93734741,3.54999995,0.16499999,38,-,91,172.1000061,-,25
Thu Oct 28 13:55:52 GMT+02:00 2021,28-oct.-2021 13:55:53.302,3.20149503,46.07812836,7.07,3.7900925,399.772705078125,196.5,8.65743351,-0.54707509,3.8750155,0.04874348,7.03125,-0.78125,7.03125,28.62745094,24.70588303,13.9100008,13.77900696,0,99.21875,4.49617004,1266,0.94625854,0.93734741,3.73000002,0.345,38,-,91,172.1000061,-,25
Thu Oct 28 13:55:53 GMT+02:00 2021,28-oct.-2021 13:55:54.303,3.2014622,46.07807892,6.75,3.7900925,398.6153564453125,207.9,8.86213779,1.09055889,4.21499205,0.02530087,6.25,-0.78125,6.25,24.31372643,18.8235302,13.88263512,13.77900696,0,0,4.06105661,1218,0.94439697,0.93734741,3.1099999,0.55000001,38,-,91,174.6000061,-,24
Thu Oct 28 13:55:54 GMT+02:00 2021,28-oct.-2021 13:55:55.302,3.20141242,46.07803316,6.75,3.7900925,398.17034912109375,212.2,8.82502747,2.36188006,4.61721802,0.05584275,5.46875,-0.78125,5.46875,24.31372643,20.7843132,13.84270859,13.77900696,0,99.21875,4.06105661,1188,0.94168091,0.93734741,3,0.75,38,-,91,174.6000061,-,23
Thu Oct 28 13:55:55 GMT+02:00 2021,28-oct.-2021 13:55:56.302,3.20137874,46.07798438,6.51,3.7900925,397.55615234375,203.2,8.65623665,2.45046544,4.29639482,0.04321047,4.6875,-0.78125,4.6875,40.39215851,30.98039246,13.9005785,13.77900696,0,99.21875,5.80150938,1132,0.94561768,0.93734741,5.25,0.80500001,38,-,91,176.80000305,-,22
Thu Oct 28 13:55:56 GMT+02:00 2021,28-oct.-2021 13:55:57.303,3.20137037,46.07792529,6.3,3.7900925,398.42132568359375,184.8,8.47427654,3.02986217,4.20182419,0.00921743,3.90625,-0.78125,3.90625,53.72549057,47.05882263,12.89659405,13.77900696,11.37254906,0,9.86256599,1126,0.87731934,0.93734741,7.21999979,0.88499999,38,-,91,176.80000305,-,22
Thu Oct 28 13:55:57 GMT+02:00 2021,28-oct.-2021 13:55:58.304,3.20137221,46.07787058,6.22,3.7900925,399.40130615234375,164.0,8.68017864,2.7353754,4.10246468,0.04444053,0,-0.78125,0,55.68627548,44.70588303,13.36763287,14.83458233,21.96078491,1.5625,10.00760365,1242,0.90936279,1.00915527,7.07000017,0.88999999,38,-,91,182.30000305,-,24
Thu Oct 28 13:55:58 GMT+02:00 2021,28-oct.-2021 13:55:59.301,3.20140712,46.07782009,6.05,3.7900925,399.1639404296875,143.4,9.10155773,0.79846627,3.56257224,0.03292801,1.5625,-0.78125,2.34375,54.50980377,41.96078491,15.05619431,14.89873409,21.96078491,0.78125,9.71752834,1325,1.02423096,1.01351929,7.26999998,0.85499996,38,-,91,182.30000305,-,26
Thu Oct 28 13:55:59 GMT+02:00 2021,28-oct.-2021 13:56:00.301,3.20151211,46.07777531,7.72,3.7900925,398.7098388671875,131.6,9.61032581,-1.07499659,3.94085598,0.04440363,2.34375,-0.78125,2.34375,52.54901886,41.96078491,15.06516743,14.93596745,22.74509811,-0.78125,9.13737774,1504,1.02484131,1.01605225,7.98999977,0.82499999,37,-,91,190.6000061,-,30
Thu Oct 28 13:56:00 GMT+02:00 2021,28-oct.-2021 13:56:01.304,3.20159021,46.07772539,8.09,3.7900925,397.9532470703125,137.6,9.70010853,-1.00317049,3.52905321,0.08147687,3.125,-0.78125,3.125,65.09803772,53.72549057,15.1311121,14.99159527,27.84313774,1.5625,10.44271755,1587,1.02932739,1.01983643,10.39999962,0.78499997,37,-,91,190.6000061,-,31
Thu Oct 28 13:56:01 GMT+02:00 2021,28-oct.-2021 13:56:02.301,3.20166111,46.07766002,8.74,3.7900925,397.861572265625,148.6,9.29429054,-0.66558808,3.27646494,0.02908199,3.125,-0.78125,3.90625,74.50980377,56.86274338,14.97679138,15.0292778,27.84313774,-3.90625,11.31294346,1717,1.01882935,1.0223999,12.63000011,0.75999999,37,-,91,202.19999695,-,34
Thu Oct 28 13:56:02 GMT+02:00 2021,28-oct.-2021 13:56:03.302,3.20171792,46.07758907,8.88,3.7900925,397.85211181640625,156.0,9.32661247,-0.45010993,3.13760138,0.02788611,3.90625,-0.78125,3.90625,74.90196228,58.82352829,14.98441792,14.9826231,32.54901886,0,11.60301876,1784,1.01934814,1.01922607,13.84000015,0.57999998,37,-,91,202.19999695,-,35
Thu Oct 28 13:56:03 GMT+02:00 2021,28-oct.-2021 13:56:04.305,3.20176571,46.07750501,9.8,3.7900925,398.13629150390625,161.8,9.3828764,0.18674773,3.82593441,0.02685201,3.90625,0,3.90625,78.03921509,56.86274338,14.60130501,14.5142765,35.68627548,0,11.60301876,1861,0.99328613,0.98736572,14.35999966,0.47,36,-,92,221.1000061,-,37
Thu Oct 28 13:56:04 GMT+02:00 2021,28-oct.-2021 13:56:05.301,3.2018102,46.07741264,10.46,3.7900925,399.0416259765625,166.8,8.90643024,0.22146365,3.33033466,0.03110798,3.125,0,3.125,71.37255096,54.11764526,14.5600338,14.85118103,33.72549057,-0.78125,11.16790581,2023,0.99047852,1.01028442,14.43999958,0.685,36,-,92,221.1000061,-,40
Thu Oct 28 13:56:05 GMT+02:00 2021,28-oct.-2021 13:56:06.302,3.20183417,46.07731374,11.15,9.935046,398.91253662109375,170.3,8.62032318,0.64404029,4.20421839,0.00083982,1.5625,0,0,59.2156868,10.98039246,29.39955139,29.39955139,0,99.21875,3.04579258,2071,1.99996948,1.99996948,12.47000027,0.66499996,36,-,92,238.5,-,41
Thu Oct 28 13:56:06 GMT+02:00 2021,28-oct.-2021 13:56:07.301,3.2018605,46.07720394,11.45,9.935046,399.164306640625,171.0,9.40202999,0.878672,4.25449657,0.03250513,0,0,0,23.92156982,23.52941132,29.39955139,13.77900696,0,0,3.91601896,1545,1.99996948,0.93734741,3.82999992,0.02,36,-,92,238.5,-,40
Thu Oct 28 13:56:07 GMT+02:00 2021,28-oct.-2021 13:56:08.302,3.20187902,46.07710411,11.23,9.935046,399.24993896484375,171.2,9.1374712,0.79726917,3.79480958,-0.00577687,2.34375,0,2.34375,80.78431702,57.64706039,13.57847881,13.77900696,22.74509811,-1.5625,10.1526413,1577,0.92370605,0.93734741,13.10000038,0.085,36,-,92,243.79998779,-,41
Thu Oct 28 13:56:08 GMT+02:00 2021,28-oct.-2021 13:56:09.302,3.2019006,46.07699947,11.48,9.935046,399.75982666015625,171.4,9.11472607,0.91697925,3.8738184,0.01798282,1.5625,0,2.34375,72.15686035,54.90196228,13.97818851,13.77900696,56.47058868,-10.15625,11.74805641,1656,0.95089722,0.93734741,12.10999966,0.755,36,-,92,243.79998779,-,42
Thu Oct 28 13:56:09 GMT+02:00 2021,28-oct.-2021 13:56:10.300,3.2019243,46.07689501,11.9,9.935046,399.9234619140625,171.4,9.01297188,0.94331545,3.57334614,0.01366528,3.125,0,3.125,69.01960754,49.80392075,13.94140339,14.84400368,65.88235474,-0.78125,11.89309406,1690,0.94839478,1.00979614,11.97000027,0.85999995,36,-,92,257.5,-,43
Thu Oct 28 13:56:10 GMT+02:00 2021,28-oct.-2021 13:56:11.302,3.20194857,46.07678712,12.23,9.935046,400.010498046875,171.2,8.76158142,0.92296475,4.17788219,0.02290587,0.78125,0,0.78125,29.80392265,27.84313774,14.40526485,14.86194706,28.23529434,11.71875,7.25188684,1724,0.97994995,1.01101685,5.17000008,0.81999999,36,-,92,257.5,-,44
Thu Oct 28 13:56:11 GMT+02:00 2021,28-oct.-2021 13:56:12.302,3.20196847,46.07667909,12.18,9.935046,400.09393310546875,171.3,8.62989998,0.71826053,3.79600668,0.01560615,4.6875,0,4.6875,28.23529434,21.56862831,15.38637066,14.92654705,9.01960754,4.6875,5.51143408,1696,1.04669189,1.01541138,4.92000008,0.79999995,36,-,92,264.1000061,-,44
Thu Oct 28 13:56:12 GMT+02:00 2021,28-oct.-2021 13:56:13.302,3.20199076,46.07657018,12.24,9.935046,400.2183837890625,171.3,8.95551109,0.66798228,4.19823265,0.01731394,4.6875,0,5.46875,27.45098114,20.7843132,15.04408264,14.96378136,7.45098019,-4.6875,4.931283,1675,1.02340698,1.01794434,4.71999979,0.78499997,36,-,92,264.1000061,-,43
Thu Oct 28 13:56:13 GMT+02:00 2021,28-oct.-2021 13:56:14.303,3.20201305,46.07646665,11.94,9.935046,400.80596923828125,171.5,8.9758625,0.89423436,3.8774097,0.0176863,3.90625,0,3.90625,27.45098114,36.47058868,15.19616032,15.01985741,7.45098019,-4.6875,5.07632065,1662,1.03375244,1.02175903,4.5999999,0.75999999,36,-,92,267.1000061,-,43
Thu Oct 28 13:56:14 GMT+02:00 2021,28-oct.-2021 13:56:15.303,3.20204063,46.07635851,12.0,9.935046,401.3648681640625,171.2,9.04290009,0.72065473,3.88698649,0.02258595,1.5625,0,1.5625,49.41176605,37.64706039,14.25498009,15.05709267,34.11764526,-2.34375,8.41218853,1658,0.96972656,1.02429199,8.27999973,0.75,36,-,92,267.1000061,-,43
Thu Oct 28 13:56:15 GMT+02:00 2021,28-oct.-2021 13:56:16.302,3.20206573,46.07625342,11.92,9.935046,401.5059814453125,171.2,9.0045929,0.76973587,4.17668486,0.02278058,1.5625,0,1.5625,47.05882263,35.68627548,15.20872211,15.0678587,34.90196228,0,8.41218853,1662,1.03460693,1.02502441,7.5999999,0.745,35,-,92,272.70001221,-,43
Thu Oct 28 13:56:16 GMT+02:00 2021,28-oct.-2021 13:56:17.300,3.20209185,46.07614463,12.01,9.935046,402.2418212890625,171.2,8.85615253,0.82121116,3.81276631,0.00619987,2.34375,0,2.34375,43.92156982,32.94117737,15.29799461,15.0678587,32.54901886,-2.34375,7.97707558,1657,1.04067993,1.02502441,7.26999998,0.74000001,35,-,92,272.70001221,-,43
Thu Oct 28 13:56:17 GMT+02:00 2021,28-oct.-2021 13:56:18.300,3.20211884,46.07604129,11.97,9.935046,401.8616943359375,171.1,8.85016632,0.67396778,3.95043278,0.01080639,2.34375,0,2.34375,32.15686417,33.72549057,15.13694477,15.0678587,17.64705849,7.8125,7.10684919,1674,1.02972412,1.02502441,5.42000008,0.72999996,35,-,91,277.8999939,-,43
Thu Oct 28 13:56:18 GMT+02:00 2021,28-oct.-2021 13:56:19.302,3.20214158,46.07593518,11.97,9.935046,402.198974609375,171.2,8.82023907,0.42377371,4.01268196,0.00716953,3.90625,0,3.90625,34.11764908,25.88235283,15.36079979,15.0678587,13.72549057,3.90625,5.94654703,1665,1.04495239,1.02502441,5.17000008,0.71999997,35,-,91,277.8999939,-,43
Thu Oct 28 13:56:19 GMT+02:00 2021,28-oct.-2021 13:56:20.304,3.20216917,46.07582661,11.93,9.935046,402.1357421875,171.3,8.75439835,0.75177932,4.21379519,0.01738167,5.46875,0,5.46875,23.13725471,18.03921509,15.44962406,15.0678587,0,0,4.49617004,1658,1.05099487,1.02502441,3.86999989,0.345,35,-,91,281.5,-,43
Thu Oct 28 13:56:20 GMT+02:00 2021,28-oct.-2021 13:56:21.303,3.20219773,46.07571711,12.01,9.935046,401.90447998046875,171.1,8.71130276,0.81402856,4.26287603,0.01325711,9.375,0,10.15625,21.96078491,16.47058868,14.46133995,14.50620174,0,0,3.62594342,1642,0.98376465,0.98681641,3.6099999,0.095,35,-,91,281.5,-,42
Thu Oct 28 13:56:21 GMT+02:00 2021,28-oct.-2021 13:56:22.301,3.20222197,46.07561273,11.91,9.935046,402.27301025390625,171.1,8.77714348,0.76135612,4.27963543,0.01902797,8.59375,0,8.59375,21.17647171,16.07843208,14.50485516,14.48018169,0,0,3.62594342,1639,0.98672485,0.98504639,3.54999995,0.19,36,-,91,283.6000061,-,42
Thu Oct 28 13:56:22 GMT+02:00 2021,28-oct.-2021 13:56:23.303,3.20224758,46.07550682,11.85,9.935046,402.46514892578125,171.0,8.78552341,0.69910687,4.29639482,0.01863374,7.03125,0,7.8125,21.96078491,16.86274529,14.53536129,14.41961956,0,0,3.62594342,1633,0.98880005,0.98092651,3.6099999,0.36499998,36,-,91,283.6000061,-,42
Thu Oct 28 13:56:23 GMT+02:00 2021,28-oct.-2021 13:56:24.302,3.20227158,46.07540472,11.73,9.935046,402.5521240234375,170.6,8.92797852,0.53989249,4.33949041,0.02333194,7.03125,0,7.03125,21.56862831,16.47058868,14.55734158,14.57708168,0,0,3.62594342,1631,0.99029541,0.99163818,3.43000007,0.64999998,36,-,91,283.6000061,-,42
Thu Oct 28 13:56:24 GMT+02:00 2021,28-oct.-2021 13:56:25.302,3.20229833,46.07529856,11.76,9.935046,402.7979736328125,170.8,8.77355194,0.71227503,4.28921223,0.01264452,5.46875,0,5.46875,21.56862831,16.47058868,15.22532082,15.00415611,0,0,3.62594342,1627,1.03573608,1.02069092,3.57999992,0.66499996,36,-,91,286.1000061,-,42
Thu Oct 28 13:56:25 GMT+02:00 2021,28-oct.-2021 13:56:26.302,3.20232208,46.07519204,11.82,9.935046,402.869873046875,171.0,8.7747488,0.81522566,4.10126734,0.01449929,6.25,0,6.25,23.13725471,17.64705849,15.16520691,15.03241825,0,0,3.77098107,1621,1.03164673,1.02261353,3.82999992,0.66999996,36,-,91,286.1000061,-,42
Thu Oct 28 13:56:26 GMT+02:00 2021,28-oct.-2021 13:56:27.304,3.20234751,46.07509113,11.78,9.935046,403.123046875,171.1,8.87650299,0.74818802,4.34667301,0.02499122,6.25,0,6.25,22.74509811,16.86274529,14.8341341,14.44967556,0,0,3.77098107,1624,1.00912476,0.98297119,3.73000002,0.23999999,36,-,91,288.5,-,42
Thu Oct 28 13:56:27 GMT+02:00 2021,28-oct.-2021 13:56:28.301,3.20237074,46.07498928,11.71,9.935046,403.2945556640625,171.0,9.00578976,0.73741412,4.06296015,0.01532225,7.03125,0,6.25,22.35294151,17.64705849,14.51472378,14.41513443,0,0,3.77098107,1610,0.98739624,0.98062134,3.67000008,0.175,36,-,91,288.5,-,42
Thu Oct 28 13:56:28 GMT+02:00 2021,28-oct.-2021 13:56:29.302,3.20239074,46.07488843,11.59,9.935046,403.2667236328125,171.0,8.70890903,0.5303157,4.47835445,0.02536504,0,0,0,13.72549057,10.1960783,14.50934029,14.4321804,0,0,2.75571704,1590,0.98703003,0.98178101,2.20000005,0.30500001,36,-,91,290.79998779,-,41
Thu Oct 28 13:56:29 GMT+02:00 2021,28-oct.-2021 13:56:30.303,3.20241922,46.07478177,11.53,9.935046,403.9337158203125,170.8,8.80228233,0.82599956,4.22935724,0.02367296,0,0,0,13.33333397,11.37254906,29.39955139,14.1603241,0,0,3.04579258,1218,1.99996948,0.96328735,2.18000007,0.02,36,-,91,290.79998779,-,40
Thu Oct 28 13:56:30 GMT+02:00 2021,28-oct.-2021 13:56:31.302,3.20244168,46.07467976,11.18,9.935046,403.93634033203125,170.7,8.46589756,0.70868373,4.49750805,0.01940588,0,0,0,20.3921566,18.43137169,15.87266159,13.77900696,0,0,3.91601896,1320,1.07977295,0.93734741,2.97000003,0.035,36,-,91,291.3999939,-,39
Thu Oct 28 13:56:31 GMT+02:00 2021,28-oct.-2021 13:56:32.302,3.2024668,46.07458445,10.96,9.935046,403.9769287109375,170.4,8.39766216,0.75537062,4.47955132,0.00911245,0,0,0,16.86274529,12.54901981,14.6264286,13.77900696,0,0,3.19083023,1930,0.99499512,0.93734741,3.23000002,0.055,36,-,91,291.3999939,-,38
